nome              ;unidades          ;km_ida            ;km_volta          ;nro_linha         ;sigla_emit        ;sigla_dest        ;carrega_seg       ;carrega_ter       ;carrega_qua       ;carrega_qui       ;carrega_sex       ;carrega_sab       ;carrega_dom       ;vlr_min_frete     ;multi_carr_diario
GOIÂNIA X RONDONOPOLIS - DIRETO;;718;0;61;GYN;RON;t;t;t;t;t;t;t;32500;f
SÃO PAULO X JATAÍ - DIRETO;;956;0;55;SAO;JTI;f;f;f;f;f;f;f;25000;f
CAMPO GRANDE X RONDONOPOLIS;;492;0;72;CGD;RON;t;t;t;t;t;t;t;10000;f
GOIÂNIA X PALMAS - DIRETO;;825;0;63;GYN;PMW;t;t;t;t;t;t;t;22500;f
GOIÂNIA X PALMAS - ITINERANTE;GRP;825;0;62;GYN;PMW;t;t;t;t;t;t;t;25000;f
SÃO PAULO X BRASÍLIA - SEGUNDA FEIRA;UDI;1005;0;121;SAO;BSB;t;f;f;f;f;f;f;30000;f
SÃO PAULO X SORRISO -  ITINERANTE;LVR,NVM;1938;0;14;SAO;SOR;f;t;f;t;f;t;f;45000;f
SÃO PAULO X ITUMBIARA - DIRETO;;700;0;57;SAO;ITB;f;f;f;f;f;f;f;17500;f
GOIÂNIA X SÃO PAULO - ITINERANTE;ITB,UDI,RAO;936;0;65;GYN;SAO;t;t;t;t;t;t;t;17500;f
GOIÂNIA X CAMPO GRANDE - ITINERANTE;RVD,JTI;847;0;66;GYN;CGD;t;t;t;t;t;t;t;25000;f
SÃO PAULO X CUIABÁ -  ITINERANTE;MIN;1613;0;6;SAO;CBA;f;t;f;f;f;t;f;35000;f
SÃO PAULO X TANGARÁ -  ITINERANTE;JTI,MIN,RON,CBA,CGD;1828;0;7;SAO;TGA;f;f;f;f;f;f;f;37500;f
SÃO PAULO X LUCAS DO RIO VERDE -  ITINERANTE;RON,CBA,NVM;1871;0;13;SAO;LVR;f;f;f;f;f;f;f;42500;f
SÃO PAULO X UBERLÂNDIA - DIRETO;;590;0;58;SAO;UDI;f;f;f;f;f;f;f;15000;f
GOIÂNIA  X CAMPO GRANDE - DIRETO;;841;0;67;GYN;CGD;t;t;t;t;t;t;t;25000;f
GOIÂNIA X DOURADOS - ITINERANTE;RVD,JTI,CGD;1072;0;68;GYN;DRD;t;t;t;t;t;t;t;25000;f
GOIÂNIA X DOURADOS - DIRETO;;1064;0;69;GYN;DRD;t;t;t;t;t;t;t;25000;f
CAMPO GRANDE X GOIÂNIA - ITINERANTE;TLG,MIN,JTI,RVD;1260;0;70;CGD;GYN;t;t;t;t;t;t;t;22500;f
SÃO PAULO X NOVA MUTUM -  ITINERANTE;RON,CBA;1775;0;15;SAO;NVM;f;f;f;f;f;f;f;40000;f
SÃO PAULO X PRIMAVERA DO LESTE -  ITINERANTE;RON;1932;0;18;SAO;PVA;f;f;t;f;f;t;f;32500;f
SÃO PAULO X BELO HORIZONTE - DIRETO;;589;0;60;SAO;BHZ;f;f;f;f;f;f;f;17500;f
CAMPO GRANDE X GOIÂNIA - DIRETO;;973;0;71;CGD;GYN;t;t;t;t;t;t;t;22500;f
DOURADOS X CAMPO GRANDE - DIRETO;;251;0;74;DRD;CGD;t;t;t;t;t;t;t;7500;f
CAMPO GRANDE X SÃO PAULO;;984;0;75;CGD;SAO;t;t;t;t;t;t;t;17500;f
RONDONOPOLIS X PONTES LACERDA - DIRETO;;662;0;82;RON;PLC;t;t;t;t;t;t;t;20000;f
RONDONOPOLIS X CACERES - ITINERANTE;CBA;435;0;83;RON;CAC;t;t;t;t;t;t;t;20000;f
SÃO PAULO X RIO VERDE - DIRETO;;902;0;56;SAO;RVD;f;f;f;f;f;f;f;25000;f
