DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
CGD;CAM411475-2; N;15/06/2026;24/06/2026;   533602;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;L. I. SCHELSKE E CIA LTDA;CORUMBA;MS;011;      3.373,92;     199,41;  184,860;   0,6162;  184,860;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497261006290877 ;         37,09;
CGD;CAM411478-7; N;15/06/2026;19/06/2026;   533323;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;CENTRAL FERRAMENTAS LTDA;CAMPO GRANDE;MS;007;     46.295,55;   2.107,94; 3060,000;  10,2000; 3060,000;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497291006290909 ;        392,08;
CGD;CAM411483-3; N;15/06/2026;24/06/2026;   533606;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;WP WELITON PARAFUSOS EIRELI;SAO GABRIEL DO OESTE;MS;009;      5.345,81;     132,34;   42,234;   0,1407;   42,234;      0;      5;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497341006290950 ;         24,62;
CNP;BIR093585-9; N;03/06/2026;19/06/2026;    86919;            ;     ;MARCOS RIBEIRO E CIA. LTDA.;MARCOS RIBEIRO E CIA. LTDA.;C.;FUNDACAO DE APOIO AO DESENVOLV;CAMPO NOVO DO PARECIS;MT;CNP;      9.700,00;   1.085,29;  125,000;   1,1578;  347,340;      0;      2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020786611006176515 ;        201,86;
DRD;CAM411319-5; N;15/06/2026;22/06/2026;      676;            ;     ;UFI FILTERS DO BRASIL IND E CO;UFI FILTERS DO BRASIL IND E CO;B.;AGROCULTURE COMERCIO DE PECAS ;DOURADOS;MS;01 ;     16.302,72;     728,43;  151,550;   1,7040;  511,200;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004495981006280578 ;          0,00;
DRD;CAM411460-4; N;15/06/2026;25/06/2026;   123792;            ;     ;BRITISH INDUSTRIA E COMERCIO L;BRITISH INDUSTRIA E COMERCIO L;C.;LIMPAX PRODUTOS DE LIMPEZA LTD;NAVIRAI;MS;05 ;      3.187,89;     291,40;   39,060;   0,7798;  194,950;      0;     14;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497411006291144 ;          0,00;
DRD;CAM411476-1; N;15/06/2026;22/06/2026;   533593;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;COMAGRAN PRODUTOS AGRO INDUSTR;DOURADOS;MS;01 ;      2.964,54;     182,78;  164,320;   0,5477;  164,320;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497271006290882 ;          0,00;
DRD;CAM411479-5; N;15/06/2026;22/06/2026;   533528;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;MATFER EQUIPAMENTOS E FERRAMEN;DOURADOS;MS;01 ;      8.028,72;     973,29; 1115,640;   3,7188; 1115,640;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497301006290918 ;          0,00;
DRD;CAM411482-5; N;15/06/2026;22/06/2026;   533530*;            ;     ;ESAB INDUSTRIA E COMERCIO LTDA;ESAB INDUSTRIA E COMERCIO LTDA;B2;CLM FERRAMENTAS LTDA;DOURADOS;MS;01 ;      4.074,56;     130,29;   22,866;   0,0762;   22,866;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497331006290944 ;          0,00;
DRD;CAM411489-2; N;15/06/2026;25/06/2026;  1033311;            ;     ;NEWELL BRANDS BRASIL LTDA (SOB;NEWELL BRANDS BRASIL LTDA (SOB;A1;CDA COMERCIO ATAC DE ALIM EIRE;AMAMBAI;MS;04 ;      4.417,75;     253,80;   74,890;   0,8064;  201,600;      0;     25;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497491006291223 ;          0,00;
